recipe_name,original_recipe_name,ingredients,ingredient_count,ingredients_original,cooking_steps,cooking_method,meal_tags,servings,calories,carbohydrate,protein,fat,sodium_mg,sodium_point,tips,source_book,health_tags,diet_type
Pecal,Pecal,"water spinach, long bean, bean sprout, cucumber, yam bean, tofu, tempeh, egg, shallot, garlic, peanut",11,"150 g (1 bunch) water spinach cut, 75 g (5 stalks) long beans cut into 1 inch length, 150 g (1½ cups) bean sprouts, 150 g (½ piece) cucumber diced, 100 g (1 cup) yam bean diced, 300 g (2 blocks) firm tofu cut into cubes and grilled, 140 g (2 pieces) tempeh cut lengthwise and fried with a little oil, 3 hard boiled eggs quartered, 2.5 cm shrimp paste lightly toasted, 40 g (3 tablespoons) chilli paste, 50 g (5 pieces) shallot, 15 g (3 cloves) garlic, 80 g (½ cup) peanuts roasted and ground, 1 cm small sand ginger pounded, 125 ml (½ cup) tamarind juice, 15 ml (1 tablespoon) oil, Salt and sugar to taste","Blanch long beans, bean sprouts and water spinach in boiling water until moderately soft. Keep blanching water and set aside. To make peanut sauce, heat oil in a pan and sauté blended ingredients until browned and fragrant. Add chilli paste, sauté briefly and then add shrimp paste. Continue sautéing until fragrant and oil separates. Add 2 cups of vegetable blanching water with sand ginger and stir well. Add tamarind juice, stir and simmer until gravy thickens. Then add ground peanuts. Mix well and add salt and sugar to taste. Turn off heat and let sauce cool. Scoop out oil floating on top of the gravy. Arrange vegetables including cucumber with tempeh, tofu and egg on a serving plate. Pour sauce over it and serve.",mix,dinner,8 person,152,5.1,10.3,10,NULL,NULL,"Other ingredients can be added or substituted such as cassava leaves, fiddlehead ferns and potatoes.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
Beancurd Skin Vegetable Wrap,Sayur Balutan Fucuk,"dried beancurd skin, cauliflower, broccoli, carrot, button mushroom, yam bean, shiitake mushroom, garlic, chinese celery",9,"6 pieces dried beancurd skin (6x6 inch size) soaked until soft and wiped, 60 g (½ cup) cauliflower cut into small pieces, 50 g (½ cup) broccoli cut into small pieces, 108 g (½ stalk) carrot cut lengthwise, 3 pieces button mushroom drained and thinly sliced, 100 g (1 cup) yam bean sliced, 11 g (5 pieces) shiitake mushroom thinly sliced, 10 g (2 cloves) garlic chopped, 1 bunch chinese celery roots removed and cleaned, 7 g (1 tablespoon) oyster sauce, 180 ml (¾ cup) homemade chicken stock, 7 g (1 tablespoon) corn flour mixed with ½ cup homemade chicken stock, 15 ml (1 tablespoon) oil, Salt and white pepper to taste","Heat oil in a pan and sauté garlic until fragrant. Then add carrot, followed by cauliflower, broccoli, yam bean, shiitake mushroom and button mushroom. Sauté briefly. Pour chicken stock with oyster sauce and simmer over medium heat for 10 minutes. Add salt and white pepper to taste. Finally, add corn flour mixture and turn off heat. Set aside and let cool briefly. Divide into 6 parts. Spread out 1 piece of dried beancurd skin. Place 1 part of cooked vegetables on the beancurd skin sheet and wrap neatly and carefully so the skin does not tear. Tie neatly using chinese celery stalk. Repeat this step until all vegetables are used. Place vegetables wrapped in dried beancurd skin in a steamer and steam for 5 minutes. Serve while hot.",steam,lunch,6 person,110,5.8,7.8,6.2,NULL,NULL,"You can replace some ingredients or add more ingredients like tofu, cabbage, glass noodles, green beans and firm tofu (taukwa) into the dish for a variety of colors and protein. Beancurd skin (fucuk) is a soy product that contains protein. This dish is one way to add legumes into your diet.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegan
Sichuan Vegetable Soup,Sup Sayur Sichuan,"bamboo shoot, carrot, soft tofu, dried black mushroom, dried black fungus, yellow capsicum, egg, ginger",8,"1 L (4 cups) homemade chicken stock, 25 g (½ piece) bamboo shoot cut lengthwise, 25 g (¼ piece) carrot cut lengthwise, 25 g (¼ piece) soft tofu cut into cubes, 13 g (6 pieces) dried black mushroom soaked and thinly sliced, 3 pieces dried black fungus soaked and sliced, 30 g (½ medium piece) yellow capsicum diced, 1 egg beaten, 20 g (2 teaspoons) chilli powder, 5 ml (1 teaspoon) soy sauce, 10 ml (2 teaspoons) vinegar, 40 g (2 tablespoons) tomato sauce, 5 ml (1 teaspoon) sesame oil, 5 g (2 teaspoons) corn flour dissolved in ½ cup water, 2 stalks spring onion chopped, 1 inch fresh ginger grated, Salt sugar and white pepper to taste","Boil chicken stock and add chilli powder, tomato sauce, soy sauce, vinegar, sugar, salt, ginger, sesame oil and white pepper. Add bamboo shoots, carrot, capsicum and black fungus into the soup. Cook over medium heat until vegetables are tender. Add black mushroom and corn flour into the soup, stirring constantly until it becomes thick. Pour beaten egg slowly and continue stirring. Cook for a few more minutes, then turn off heat. Finally add cut tofu and transfer to a serving bowl. Garnish with spring onion and serve while hot.",boil,lunch,5 – 6 person,204,14.4,13.1,10.4,NULL,NULL,"This dish is nutritious because it contains different types of vegetables. Hot and sour vegetable soup is a type of dish originating from Sichuan, China. According to Chinese culinary writers, Sichuan cuisine consists of seven basic flavors: sour, spicy, hot, sweet, bitter, aromatic, and salty.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,low_calorie,vegetarian
Thai Style Vegetable Curry,Kari Sayur Ala Thai,"tofu puff, carrot, brinjal, long bean, red capsicum, onion, lemongrass, torch ginger flower, milk, coconut milk",10,"70 g (5 pieces) tofu puff halved, 108 g (1 medium piece) carrot sliced diagonally, 400 g (3 pieces) brinjal sliced diagonally, 75 g (5 pieces) long beans cut into 1 inch length, 60 g (1 piece) red capsicum sliced, 50 g (2 pieces) onion chopped, 14 g (2 tablespoons) curry powder, 6 g (1 teaspoon) turmeric powder, 5 g (½ teaspoon) chilli powder, 30 g (1 stalk) lemongrass pounded, 70 g (1 stalk) torch ginger flower thinly sliced, 500 ml (2 cups) low-fat milk, 250 ml (1 cup) thin coconut milk, 500 ml (2 cups) water, 15 ml (1 tablespoon) oil, 1 kaffir lime leaf sliced, 1 stalk coriander leaves chopped, Salt to taste","Heat oil in a pan and sauté onion until fragrant. Then, add torch ginger flower, curry powder, turmeric powder and chilli powder. Sauté for about 3 minutes. Add vegetables, starting with carrot, long bean and brinjal. Stir vegetables until slightly soft. Then, add water, capsicum and continue cooking. Slowly pour in milk and coconut milk. Boil the curry, and add lemongrass and kaffir lime leaf. Reduce heat and simmer for 10 minutes. Add water if necessary and salt to taste. Just before turning off heat, add tofu puff. Sprinkle coriander leaves before serving.",boil,lunch,8 person,118,4.5,5,8.9,NULL,NULL,"Reduce the use of coconut milk and replace half of its quantity with milk, or reduce its thickness by adding water.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegetarian
Brinjal Sambal,Sambal Terung,"brinjal, shallot, onion, bird's eye chilli",4,"260 g (2 large pieces) brinjal halved, 50 g (5 pieces) shallot, 13 g (½ piece) onion, 5 bird's eye chillies, 25 g (2 tablespoons) chilli paste, 125 ml (½ cup) water, 15 ml (1 tablespoon) lime juice, 15 ml (1 tablespoon) oil, Salt and sugar to taste","Grill brinjal on a flat pan over slow fire until slightly soft. Set aside. Heat oil in a pan and sauté pounded ingredients until browned and fragrant. Add chilli paste and continue sautéing. Add water, stir and simmer. Add salt and sugar to taste. When sambal is cooked and oil separates, turn off heat. Squeeze lime juice and stir well. Pour sambal over brinjal and serve with rice.",grill,lunch,4 person,50,3.7,0.7,3.6,NULL,NULL,Brinjal can be replaced or cooked with lady's fingers (okra). The purple color of brinjal makes the dish more attractive. The oil separated from the sambal can be discarded to reduce fat and oil intake.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",vegan
Cassava Leaves Cooked with Fermented Durian,Pucuk Ubi Masak Tempoyak,"cassava leaf, anchovy, stink bean, lemongrass, milk, coconut milk, fermented durian paste, bird's eye chilli",8,"200 g (½ bunch) cassava leaves boiled and water discarded, 1 piece turmeric leaf thinly sliced, 60 g (½ cup) anchovy, 75 g (1 pod) stink bean separated from stalk and halved, 60 g (2 stalks) lemongrass thinly sliced, 250 ml (1 cup) low-fat milk, 125 ml (½ cup) coconut milk, 60 g (½ cup) fermented durian paste, 8 bird's eye chillies, 1 cm fresh turmeric, 125 ml (½ cup) water, Salt to taste","Heat a pan over medium heat and add cassava leaves, turmeric leaf, lemongrass, stink bean together with blended chilli and turmeric mixture. Then pour in coconut milk and milk. Mix well until leaves shrink slightly. Add dried anchovies and continue cooking over medium heat. Add water and simmer until gravy thickens slightly. Add fermented durian paste and mix well. Add salt to taste and continue stirring until gravy becomes thick and slightly dry. Turn off heat and serve with rice.",boil,lunch,5 – 6 person,132,8.3,10.4,6.3,NULL,NULL,"Blanching cassava leaves before cooking can soften the leaves to ease digestion, besides removing cyanide content which is toxic to the human body. Therefore, cassava leaves must be blanched separately and the water discarded.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Sesame Chicken,Ayam Masak Bijan,"chicken breast, red capsicum, onion, garlic, ginger",5,"400 g (2 pieces) skinless chicken breast cut into medium pieces, 30 ml (2 tablespoons) tomato sauce, 30 ml (2 tablespoons) honey, 15 ml (1 tablespoon) oyster sauce, 15 ml (1 tablespoon) vinegar, 7 ml (½ tablespoon) soy sauce, 60 g (1 piece) red capsicum thinly sliced, 26 g (1 piece) onion thinly sliced, 10 g (2 cloves) garlic crushed, 10 g (½ inch) ginger grated, 20 g (2 tablespoons) sesame seeds toasted, 15 ml (1 tablespoon) sesame oil, 125 ml (½ cup) water, Corn flour enough to coat chicken, Salt and black pepper to taste, 2 stalks spring onion chopped","Mix salt and black pepper in a bowl. Add chicken pieces and mix well. Cover and marinate for about 30 minutes in the refrigerator. Coat chicken with corn flour and fry with a little oil until cooked and golden yellow. Remove from pan and use kitchen tissue to absorb excess oil. Heat pan with sesame oil. Sauté onion, garlic and ginger until fragrant. Add oyster sauce, tomato sauce, soy sauce, honey, vinegar and capsicum over medium heat. Add a little water and cook until boiling while stirring. Simmer until sauce thickens. Coat chicken with sauce in the pan or in a serving dish and garnish with spring onion and sesame seeds.",stir_fry,lunch,4 – 5 person,205,15.3,15.1,9.3,NULL,NULL,"Toasted sesame oil is dark, has a stronger smell and is more fragrant compared to regular sesame oil. It is usually used in Chinese cooking. Use only a little in cooking. Brushing chicken with a little oil and roasting it in the oven is better than frying.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",chicken
Mutton Masala,Kambing Masala,"mutton, ginger, garlic, green chilli, red chilli",5,"500 g (6 shoulder pieces) lean mutton, 90 ml (6 tablespoons) lemon juice, 7 g (2 tablespoons) garam masala, 5 ml (1 teaspoon) blended ginger, 20 g (2 cloves) garlic crushed, 5 ml (1 teaspoon) dried red chilli crushed, 5 g (1 teaspoon) brown sugar, 30 ml (2 tablespoons) honey, 3 stalks coriander leaves chopped, 1 green chilli finely chopped, 30 ml (2 tablespoons) oil, Salt and white pepper to taste, Garnish: red chilli slices","Prick mutton meat several times with a fork, rinse, dry and set aside. In a large bowl, mix ginger with lemon juice, garlic, crushed dried red chilli, garam masala, salt, sugar, white pepper and honey. Coat mutton meat with marinade and marinate for about 1 hour. Preheat oven. Place mutton on a rack with a tray under the rack. Sprinkle coriander leaves and chopped green chilli over mutton. Pour remaining marinade and drizzle a little oil over mutton. Roast mutton in preheated oven for 10-15 minutes at 180°C, turning occasionally until cooked and browned. Transfer to a serving container and garnish with sliced red chilli.",roast,lunch,6 person,165,4.6,17.5,8.5,NULL,NULL,"Garam masala is a blend of several types of dry spice powders. It contains 10-12 different spices such as cumin, coriander, cloves, cardamom, black pepper, and nutmeg. It is usually added to food at the last step or right before serving to enhance the food's flavor. Mutton is placed on a rack in the oven so excess oil drips into the tray, thus reducing the amount of fat consumed. Garam masala can be found in selected shops, retail markets, and supermarkets.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",beef
Tandoori Chicken,Ayam Tandoori,"chicken, garlic, ginger, yogurt",4,"2 kg (1 whole) chicken skin and fat removed quartered, 40 g (4 cloves) garlic chopped, 40 g (2 inches) ginger finely blended, 30 ml (2 tablespoons) lemon juice, 250 ml (1 cup) plain yogurt, 3 g (1 teaspoon) garam masala, 3 g (1 teaspoon) coriander powder, 3 g (1 teaspoon) cumin powder, 3 g (1 teaspoon) turmeric powder, 3 g (1 teaspoon) curry powder, 3 g (1 tablespoon) sweet paprika, 30 ml (2 tablespoons) mint sauce (optional), 15 ml (1 tablespoon) oil, Salt and white pepper to taste","Heat oil in a small pan over medium heat. Add coriander, cumin, turmeric, garam masala, curry powder, mint sauce and paprika. Sauté until fragrant (about 2-3 minutes). Set aside. Mix the cooled spice ingredients into yogurt. Slowly add lemon juice, garlic, salt and ginger. Prick chicken meat slightly with a knife (to the bone) 3-4 parts of chicken leg/thigh pieces. Coat chicken with marinade, cover and leave for at least an hour (preferably 6-8 hours or overnight). Preheat oven to 240°C. Transfer chicken pieces to a baking tray. Bake for about 20-25 minutes or until chicken is cooked brown on top. Chicken is cooked when clear juice flows out. Leave for at least 5 minutes before serving with mint sauce. Serve with naan, roti paratha, or steamed rice.",bake,dinner,6 – 8 person,137,1.2,20,5.7,NULL,NULL,Serve with rice and other vegetable dishes for a complete meal. Cooking with various spices will add flavor to the dish and can reduce the use of salt. Yogurt is also added to the marinade because it is rich in calcium.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",chicken
Sesame Beef with Salad Wrap,Daging Bijan dengan Balutan Salad,"beef, lettuce leaf, shallot, garlic, ginger",5,"500 g beef fat removed and thinly sliced, 60 g (6 pieces) crispy lettuce leaves, 10 g (1 piece) shallot, 20 g (4 cloves) garlic, 3 g (1 teaspoon) black pepper, 10 g (½ inch) ginger, 30 ml (2 tablespoons) thick soy sauce, 10 ml (2 teaspoons) sesame oil, 10 g (1 tablespoon) sesame seeds toasted, 30 ml (2 tablespoons) honey, 15 ml (1 tablespoon) oil, 125 ml (½ cup) water, 2 stalks spring onion thinly sliced, Salt to taste","Cut beef into medium-sized thin slices. Prick the meat with a fork several times until tender. Mix beef slices with blended ingredients together with honey, thick soy sauce, a little salt and sesame oil. Marinate for 1 hour or overnight in the refrigerator. Heat oil in a pan. Add marinated meat with its sauce into the pan and cook for 2 minutes. Add 1/2 cup water and reduce heat and simmer until meat is cooked and tender. Add more water if necessary. Place cooked meat into a bowl. Sprinkle with spring onion and sesame seeds. Place about 2 tablespoons of beef mixture onto each medium-sized lettuce leaf and roll. Serve immediately.",stir_fry,lunch,6 person,218,6.6,25.1,10.1,NULL,NULL,Red meat is a good source of iron and is more easily absorbed by the body compared to iron from plant sources. Choose lean beef cuts to reduce fat intake in your diet.,Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein",beef
Prawn Kebab,Kebab Udang,"prawn, carrot, snow pea, capsicum, onion, ginger",6,"200 g (20 pieces) prawns peeled and cleaned, 100 g (1 medium piece) carrot peeled sliced 1cm thick and blanched, 150 g snow peas blanched, 30 g (1 medium piece) capsicum roughly sliced, 50 g (2 pieces) onion roughly chopped, 30 ml (2 tablespoons) oil, 15 ml (1 tablespoon) lime juice, 30 ml (2 tablespoons) ginger chopped, Salt and white pepper to taste, Skewers","Skewer prawns alternating with vegetables on skewers. In a separate bowl, mix oil, lime juice, ginger, salt and white pepper and brush onto kebabs. Place skewers in oven about 15 cm from heating element. Grill 3-4 minutes on each side, depending on size. Serve while hot.",grill,lunch,5 person,127,2.5,7.9,9.5,NULL,NULL,"The fat in prawns is low (0.3g/100g). However, it is advised to remove the heads because they contain high cholesterol. Prawns can be replaced with fish chunks. Serve with BBQ sauce or any sauce of choice. Mushrooms, cherry tomatoes, and pineapples can also be included for variety and to increase fiber and color.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Steamed Egg Tofu with Prawn,Telur Tauhu Kukus dengan Udang,"egg, prawn, soft tofu, shiitake mushroom, broccoli, carrot",6,"3 chicken eggs, 185 ml (¾ cup) homemade chicken stock, 3 large prawns cleaned and sliced, 75 g (1 block) soft tofu cut into small pieces and divided into 3, 9 g (4 medium pieces) shiitake mushroom thinly sliced, 35 g (3 tablespoons) broccoli chopped, 30 g (3 tablespoons) carrot chopped, Salt to taste, Garnish: spring onion chopped","In a large bowl, beat eggs. Slowly pour chicken stock and salt to taste. In another container, mix mushroom, tofu, broccoli, carrot and prawn and divide into three bowls. Pour egg and chicken stock mixture into the 3 divided bowls. Boil water in a steamer. Reduce heat and place bowls containing egg mixture into steamer. Cover and steam for 20 minutes, or until egg is cooked and soft like tofu. Garnish each bowl with sliced spring onion and serve.",steam,lunch,3 person,107,3.1,9.8,6.1,NULL,NULL,"Chopped ginkgo nuts and minced chicken meat can also be used as additional ingredients. It is recommended for healthy individuals to consume one egg a day. If you have high cholesterol, limit it to 2-3 eggs a week and it is advisable to separate the yolk which contains high cholesterol.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Grilled Salmon,Salmon Panggang,salmon steak,1,"600 g (6 pieces) Salmon steaks, 20 g (1 tablespoon) honey, 100 g (1 piece) lemon juice squeezed, 15 ml (1 tablespoon) olive oil, 15 g (1 tablespoon) BBQ sauce, Salt to taste, 30 ml (2 tablespoons) water, Garnish: Dill leaves/lemon","Clean salmon, then place into a baking tray lined with baking paper. Then brush with olive oil. Mix water with lemon juice, salt, honey and BBQ sauce. Stir until well mixed. Smear mixture over salmon and coat evenly. Marinate for about 1 hour. Bake in oven for one hour at 150°C. Remove salmon from baking tray and place on a serving plate. Garnish with dill leaves or lemon and serve while hot with steamed vegetables, salad and sweet potato.",bake,dinner,6 person,171,2.7,21.6,8.2,NULL,NULL,"Salmon contains Omega-3 fatty acids, Vitamin D and protein. Whether you buy fish fillets, fish steaks, or a whole fish, make sure the fish is still fresh and smells of the ocean. A fishy smell indicates the fish is no longer fresh and was not stored at an appropriate temperature. The body of a fresh fish is still firm and bounces back when pressed. Its skin and flesh do not tear easily, especially in the belly area. Its scales are still strong, shiny and not easily detached. The color of fresh gills is bright red, and the fish flesh is free from blood and fluids. Its eyes must be clear, bulging and convex. If cloudy or sunken into the eye socket, it means the fish is no longer fresh.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",seafood
Steamed Tilapia with Fermented Soybean Paste,Tilapia Taucu Kukus,"red tilapia, garlic, ginger, red chilli",4,"300-400 g red tilapia fish cleaned, 20 g (1 tablespoon) fermented soybean paste (taucu) mashed, 5 g (1 clove) garlic finely chopped, 10 g (½ inch) ginger sliced, 7 ml (½ tablespoon) cooking oil, 30 ml (2 tablespoons) water, 4 g (½ piece) red chilli chopped (optional), 1 stalk spring onion chopped, 1 stalk coriander leaves chopped","Heat cooking oil in a pan and sauté garlic and ginger before adding fermented soybean paste. Add water and stir until gravy starts to thicken. Turn off heat and add chopped chilli. Place fish in a heat-proof plate and pour gravy over it. Steam over boiling water for 10-12 minutes. Test if fish is cooked by pricking a small knife into the thickest part of the fish. If flesh parts easily, the fish is cooked. Serve hot with sliced spring onion and coriander leaves.",steam,lunch,4 person,94,1,15.2,3.2,NULL,NULL,"Fermented soybean paste (taucu) is famous in Chinese and Indonesian cuisines. It is a paste made from preserved soybeans and tastes salty. When cooking with taucu, it is recommended to use only a little salt or better yet, do not use it at all.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",seafood
Portuguese Style En Papillotte Fish,Ikan En Papillotte ala Portugis,"mackerel, lady's finger, red chilli, shallot, garlic, lemongrass, candlenut",7,"600 g (5 medium pieces) mackerel cleaned, 60 g (5 pieces) lady's finger diagonally sliced, 4 pieces aluminum foil 20 cm x 20 cm, 1 wide banana leaf, 18 g (½ piece) lime juice squeezed, 30 g (4 pieces) red chillies, 80 g (8 pieces) shallots, 20 g (4 cloves) garlic, 60 g (2 stalks) lemongrass, 5 g (1 teaspoon) shrimp paste, 10 g (1 tablespoon) chilli powder, 45 g (4 pieces) candlenuts, 2 kaffir lime leaves, 250 ml (1 cup) water, 45 ml (3 tablespoons) oil, Salt and sugar to taste","Smoke banana leaf over small fire until slightly soft. Cut banana leaf into several pieces enough to wrap fish. Set aside. Heat oil and sauté blended ingredients with candlenuts over medium heat until fragrant and slightly crisp. Add lime juice, kaffir lime leaf, sugar and salt to taste. Sauté until combined. Add a little water if necessary. Simmer for 2 minutes and cook until sambal is slightly thick. Add lady's finger and mix briefly. Turn off heat. Line banana leaf on aluminum foil. Arrange 2-3 fish on the banana leaf. Pour sambal over fish evenly. Cover fish with aluminum sheet and fold surroundings neatly so no air can escape. Repeat same step for other fish. Place fish wrapped in aluminum on a flat pan over medium heat. Cook en papillotte for about 10 minutes. Serve with hot rice.",grill,lunch,5 person,158,0.6,17.9,9.3,NULL,NULL,"To eliminate the fishy smell, soak the fish in tamarind water for about 15 minutes, then rinse clean before cooking. It is recommended to eat 1 serving of fish every day. Choose oily fish like sardines, sea bass, hardtail scad, black pomfret, and mackerel because they contain unsaturated fatty acids (omega-3 fatty acids).",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",seafood
Sweet and Sour Crab,Ketam Masak Masam Manis,"blue crab, egg, green capsicum, red chilli, garlic, ginger, shallot",7,"1 kg (5 pieces) blue crab cleaned, 1 egg beaten, 50 g (½ piece) green capsicum sliced, 32 g (2 pieces) red chillies, 50 g (1 bulb) garlic, 20 g (1 inch) ginger, 60 g (6 pieces) shallots, 15 ml (1 tablespoon) oil, 1 stalk coriander leaves chopped, 2 stalks spring onion cut into 1 inch, 45 ml (3 tablespoons) chilli sauce, 75 g (5 tablespoons) tomato sauce, 7 g (½ tablespoon) brown sugar, 15 ml (1 tablespoon) vinegar, 125 ml (½ cup) water, 1.25 g (½ teaspoon) corn flour dissolved in ¼ cup water, Salt and white pepper to taste","Heat oil in a pan and sauté blended ingredients until fragrant. Add crab and continue cooking. Add sauce and about 1/2 cup water. Cover pan and simmer for about 15 minutes, or until crab is cooked and gravy becomes thick. Add capsicum followed by coriander leaves. Stir and leave for a moment. Add beaten egg and stir quickly to prevent egg from clumping. Turn off heat. Remove and serve with sliced spring onion.",stir_fry,dinner,5 person,116,4.5,19.5,2.2,NULL,NULL,"Seafood generally contains lower calories compared to other animal protein source foods. However, crabs contain high cholesterol, so limit the choice of crab dishes.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",seafood
Fish Tom Yam with Vegetables,Tom Yam Ikan dengan Sayuran,"tilapia, galangal, carrot, cauliflower, broccoli, baby corn, red chilli, shallot, garlic, lemongrass",10,"600 g (1 medium piece) tilapia fish cleaned, 50 g (½ inch) ginger sliced, 30 g (¼ medium piece) carrot cut lengthwise, 50 g (1 cup) cauliflower cut into small pieces, 50 g (1 cup) broccoli cut into small pieces, 50 g (1 cup) baby corn sliced diagonally, Garnish: mint leaves, 100 g (6 pieces) fresh red chillies, 120 g (12 cloves) shallot, 10 g (2 cloves) garlic, 30 g (1 stalk) lemongrass, 1 cm galangal, 35 g (2 tablespoons) tom yam paste, 15 ml (1 tablespoon) lime juice, 15 ml (1 tablespoon) oil, 3 kaffir lime leaves, 125 ml (½ cup) water, Salt and white pepper to taste","To make tom yam paste, heat oil in a pan, sauté blended ingredients until fragrant. Add tom yam paste and continue sautéing. Add a little water. Add carrot, cauliflower, broccoli and corn one by one. Continue cooking for 5 minutes, and add kaffir lime leaf, ginger, salt and white pepper to taste. Stir briefly and turn off heat. Add lime juice. Place fish on a heat-proof plate and pour tom yam paste over it. Smear evenly over fish with vegetables. Place fish into steamer and steam until cooked for about 10 minutes. Serve while hot with mint leaf garnish.",steam,dinner,2 – 3 person,71,0.2,14.6,1.3,NULL,NULL,"This cooking method is suitable for all types of fish. Tom yam spices will eliminate the fishy smell. Replace or add other vegetables such as tomatoes, long beans, and lady's fingers (okra).",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Stuffed Egg,Telur Sumbat,"egg, prawn, garlic",3,"5 boiled eggs, 90 g (½ cup) prawns peeled boiled and chopped, 8 g (½ teaspoon) low-fat mayonnaise, 5 g (1 clove) garlic chopped, 2 stalks coriander leaves finely chopped, Black pepper to taste","Peel egg shells. Rinse and drain. Cut eggs lengthwise into 2 parts. Carefully remove the yolk. Place egg yolks in a large bowl. Mix with mayonnaise and garlic. Mix well until combined. Add prawn, coriander leaves and black pepper into the egg yolk mixture. Mash mixture until soft. Fill each half of boiled egg white with the egg yolk mixture. Chill briefly before serving.",boil,snack,5 person,93,0.9,9.4,5.8,NULL,NULL,"Egg yolks are high in vitamin A, D, and iron content. Egg consumption is recommended for all healthy individuals. If fat intake from meat and dairy products is not excessive, there is no need to limit egg yolk intake. For variety, add finely chopped boiled peas, carrots, and celery.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, low_fat",seafood
Sizzling Noodles,Mi Sizzling,"yee mee, chicken, prawn, black mushroom, carrot, broccoli, capsicum, garlic, onion, ginger",10,"160 g (4 pieces) yellow yee mee blanched and drained, 100 g chicken breast cut into small pieces, 100 g (10 pieces) prawns head and tail removed, 20 g (10 pieces) black mushroom soaked and thinly sliced, 50 g (½ piece) carrot cut into long strips, 50 g (½ cup) broccoli cut into small pieces, 50 g (½ medium piece) capsicum thinly sliced, 250 ml (2 cups) water, 20 g (4 cloves) garlic crushed, 20 g (2 pieces) onion thinly sliced, 20 g (1 inch) ginger grated, 20 g (1 tablespoon) oyster sauce, 30 ml (2 tablespoons) thick soy sauce, 2.5 ml (½ teaspoon) sesame oil, 7 g (1 tablespoon) corn flour mixed evenly with a little water, 15 ml (1 tablespoon) oil, Salt white pepper and black pepper to taste","Heat oil in a pan and sauté onion, garlic and ginger until fragrant and slightly crisp. Add chicken meat and sauté for a few minutes. Add 2 cups water and boil. Add thick soy sauce, oyster sauce, black pepper and sesame oil. Simmer for a few minutes. Add prawn, carrot, broccoli, capsicum and mushroom. Continue simmering until vegetables are tender. Add salt and white pepper to taste. Pour corn flour and stir slowly until gravy becomes thick. Turn off heat and pour gravy over yee mee. Serve while hot.",stir_fry,dinner,4 person,241,31.4,16.7,5.4,NULL,NULL,"Sizzling noodles are served on a hot plate. 'Sizzling' comes from the English word referring to the hissing sound when the noodles are cooked on a hot pan. This dish is a complete meal because it contains carbohydrates from noodles, protein from chicken and prawns, minerals, and vitamins from vegetables.",Buku Masakan Pilihan Pakar Pemakanan Jilid 2: Resipi untuk Seisi Keluarga,"low_calorie, high_protein, low_fat",mixed
